trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.9123317906623,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.20643233231534,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.69083669946258,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-217.83795013427047,"{0: 18, 1: 5, 2: 1, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.8949647238113,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.26863348809026,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-4.954162874871889,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.65161933642206,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,1,-122.73848444211362,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.01276852022258,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.9775885573027,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-165.15953175470608,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,4,-76.11642002874483,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.22569929447039,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.78308977855704,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.31731943630198,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.40082970613257,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.88277912592042,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.80534959635378,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,2,-122.9891315134027,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.241793886023,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.44182265057216,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,19,-9.156141726615862,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-165.5073562268261,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,5,-176.54498666336954,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 4}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.92900415028484,"{0: 8, 1: 2, 2: 7, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.89218655967083,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,14,-25.975108874092456,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,3,-95.89347971405532,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-154.77765452498878,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
