trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-59.243053526055085,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-19.035111186264523,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-180.38771306523162,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-218.46956995051266,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-233.2214285126558,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-188.56188588379553,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-103.20141633749465,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,2,-84.93833332317324,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,15,-4.837003328920594,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-53.936802199722074,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-5.615986905783261,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-86.5688378175174,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-15.199320190734925,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,6,-8.796134680906505,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,5.921479481796118,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,7,-65.42689834567645,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-3.3536697725569797,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,21.135442763652524,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,18,16.064425572328037,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,15,25.234521036787868,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,42.20010172382896,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,17,1.8981313824837414,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,9.033049721414377,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,19.50865068852111,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,8,13.445738596262625,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,29.90288182409522,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,13,26.606104562267102,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,15.605630233603325,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,11,23.713499242913713,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-13.37566189922757,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
