trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-55.77416471614099,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-172.50412654755957,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-125.13741052098888,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-106.15031583751896,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-84.88367846722556,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-121.46866655971303,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-81.79591238042285,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,0,-189.58462726726418,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-57.52084749217984,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,9,-55.151799080646384,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,13,-47.510369973392436,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,0,-97.8093606680017,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-26.277894053929387,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,0,-85.61896122613615,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,0,11.23182256820099,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-46.09447002194253,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.42741493194872665}",25,0,-138.77195124539648,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,0,-127.72720058281148,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,0,1.5155991112302318,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
