,SMA,RSD,BB,MOM,LogVolume,Adj Close
count,2745.00,2745.00,2745.00,2745.00,2745.00,2745.00
mean,53.38,1.12,0.09,1.01,18.52,53.55
std,36.53,0.86,0.61,0.07,0.72,36.59
min,6.99,0.09,-1.34,0.67,16.25,6.59
25%,19.13,0.49,-0.44,0.97,18.02,19.38
50%,45.92,0.86,0.18,1.01,18.55,46.33
75%,82.59,1.53,0.61,1.05,19.05,82.86
max,126.88,5.67,1.35,1.30,20.55,128.52
